Takt;Radar / Distanz (m);Breite (m);Reflektionsstaerke;Geschwindigkeit
1;60;1,1;0,072;90,5
2;58;1,2;0,069;82,8
3;56;1,21;0,073;82,8
4;54;1,02;0,075;82,8
5;53;1,05;0,08;86,4
6;53;1,12;0,085;90
7;52;1,1;0,08;90,5
8;51;1,05;0,081;86,4
9;52;1,12;0,073;93,6
10;52,5;0,99;0,069;91,8
11;55;1,05;0,052;99
12;64;1,12;0,048;122,4
13;78;1,18;0,062;140,4
14;91;1,03;0,049;136,8
15;105;1,1;0,045;140,4
16;118;1,08;0,041;136,8
17;128;1,02;0,029;126
18;136;1,11;0,032;118,8
19;145;1,01;0,023;122,4
20;155;1,02;0,02;126
